Name,State,Created,Runtime,batch_size,body_site,normalize_X,normalize_y,num_epochs,num_layers,optimizer,test_split,absolute_weight_entropy,fold_10_mae,fold_10_r2,fold_10_status,fold_1_mae,fold_1_r2,fold_1_status,fold_2_mae,fold_2_r2,fold_2_status,fold_3_mae,fold_3_r2,fold_3_status,fold_4_mae,fold_4_r2,fold_4_status,fold_5_mae,fold_5_r2,fold_5_status,fold_6_mae,fold_6_r2,fold_6_status,fold_7_mae,fold_7_r2,fold_7_status,fold_8_mae,fold_8_r2,fold_8_status,fold_9_mae,fold_9_r2,fold_9_status,mae_std,overall_mae,overall_r2,r2_std,sparsity,test_loss,test_mae_original_scale,test_r2_original_scale,train_loss,val_loss,val_mae_original_scale,val_r2_original_scale
16s_stool_single_2,finished,2024-12-10T23:19:44.000Z,133,8192,16s_stool,FALSE,TRUE,1000,1,torch.optim.adamw.AdamW,0.2,136.5818927288055,11.441691398620604,0.10721155335663934,completed,11.042259216308594,0.10981936317684517,completed,10.833248138427734,0.22628362482342212,completed,10.639564514160156,0.21627192912117232,completed,11.108521461486816,0.18406701716651908,completed,11.08223819732666,0.1655763835213936,completed,11.968820571899414,0.048032142,completed,12.459962844848633,-0.059650804,completed,11.939695358276367,0.11050119945684922,completed,11.651688575744627,0.073858922,completed,0.5489993691444397,11.41676902770996,0.11819713303703427,0.081641888,0.02443705,0.039613377302885056,11.441691398620604,0.10721158981323242,0.017195506021380424,0.048947352916002274,11.462719917297363,0.094791412
16s_oral_multiple_2,finished,2025-01-14T13:12:20.000Z,849,8192,16s_oral,FALSE,TRUE,1000,1,torch.optim.adamw.AdamW,0.2,145.0255219340322,10.312147005229978,0.326148075,completed,6.965564468383789,0.5200020658194913,completed,7.680603202866631,0.3604283420008725,completed,6.3235522830297075,0.43574758684716786,completed,5.103298986860092,0.4457154487397832,completed,4.771445514336717,0.3704599220767393,completed,6.846528327211421,0.507900327,completed,9.993611061348105,0.211516774,completed,7.161601124547463,0.49264461451109376,completed,5.084942708132182,0.2271617968938041,completed,1.820141107656029,7.024329468194608,0.3897724952565853,0.10499494499897218,0.062691054,0.044487815,10.31214714050293,0.3261481523513794,0.096236959,0.1077757403254509,3.571300745010376,0.5984437465667725
16s_stool_single_1,finished,2025-01-21T21:32:40.000Z,115,8192,stool,FALSE,TRUE,1000,1,torch.optim.adamw.AdamW,0.2,155.40221095085144,12.33831030628213,0.042597668226495355,completed,11.13610974303237,0.19170160051890217,completed,11.099683718638378,0.14711797834247242,completed,12.04707195952132,0.055805089,completed,11.622415288576423,0.079029539,completed,11.324349171406514,0.2223065870068459,completed,11.183405275538597,0.1566856410555868,completed,11.540324462993958,0.17359254931995072,completed,11.44647958639244,0.055507156,completed,10.884200434114272,0.11306335458683048,completed,0.4254679453042874,11.46223499464964,0.12374071632680064,0.060348438,0.066666669,0.043381941,12.338309288024902,0.042597711,0.029434375,0.040529579,11.658151626586914,0.040310919
wgs_stool_multiple_1,finished,2025-01-21T04:49:26.000Z,249,8192,stool,FALSE,TRUE,1000,1,torch.optim.adamw.AdamW,0.2,215.6332834362983,8.696002895,0.7195618351430474,completed,8.090603627736737,0.7575701936645811,completed,7.9467082088843854,0.7598182667590897,completed,9.577241535932313,0.650697279,completed,9.362341169249351,0.6610985508646618,completed,8.559671586846482,0.7373407071773184,completed,8.918748918849786,0.7192399945796459,completed,9.168649464440133,0.6884527960602538,completed,9.081950691966489,0.6941446431786684,completed,8.900937594780634,0.6855202091731321,completed,0.49505266393467623,8.830285569326346,0.707344448,0.035807378,0.064709679,0.020415869,8.696002960205078,0.7195618152618408,0.021224699914455417,0.028746306896209717,8.283387184143066,0.7512029409408569
16s_skin_single_2,finished,2024-12-10T17:05:32.000Z,64,8192,16s_skin,FALSE,TRUE,1000,1,torch.optim.adamw.AdamW,0.2,216.2580884,10.093201637268066,0.4028653922029657,completed,8.673295974731445,0.4704294289220926,completed,8.174856185913086,0.3542409952503659,completed,8.008232116699219,0.5184797783012101,completed,7.434657096862793,0.609335641,completed,7.881017208099365,0.5371170635929552,completed,10.88562012,0.2499115185609728,completed,9.429182052612305,0.5105067173580025,completed,9.122015953063965,0.5012463221576491,completed,5.826735019683838,0.5977785609523515,completed,1.3599199056625366,8.552881240844727,0.4751911418162802,0.1054944286043266,0.045965226277379166,0.044958051,10.093201637268066,0.40286535024642944,0.009831264,0.046060681,9.457347869873049,0.3913951516151428
16s_oral_single_2,finished,2025-01-13T23:26:07.000Z,785,8192,16s_oral,FALSE,TRUE,1000,1,torch.optim.adamw.AdamW,0.2,315.4838243722914,11.551782528559366,0.28451522125678985,completed,10.612573310120466,0.13134744348798477,completed,9.851525816198896,0.48594778867726673,completed,11.163049353493584,0.33691193119504237,completed,11.00834756427341,0.2558138223459223,completed,11.001213648547864,0.30556314443663857,completed,10.549993462758522,0.4057204595572863,completed,11.74708604812622,0.2424990807758517,completed,10.00578835275438,0.3954073484731442,completed,9.997631973690456,0.4661636559014146,completed,0.6263815462235655,10.748899205852316,0.33098898961073414,0.10401866180443868,0.09337255,0.049957215785980225,11.551783561706545,0.2845152020454407,0.097772703,0.1457153558731079,11.376191139221191,0.33116447925567627
wgs_skin_single_1,finished,2025-01-21T00:37:28.000Z,89,8192,skin,FALSE,TRUE,1000,1,torch.optim.adamw.AdamW,0.2,389.8043890595436,13.368509928385416,-0.241949102,completed,11.106197357177734,0.14318347627424333,completed,17.56037221636091,-0.26267126,completed,4.900138310023716,0.5272239542457087,completed,6.202047983805339,0.6723038040555744,completed,12.788268407185871,0.19213498759922865,completed,5.366230646769206,-0.288151578,completed,4.561117172241211,0.9367016316726886,completed,10.037042617797852,0.6063229379154018,completed,1.9548358917236328,0.957377308,completed,4.679119010339756,8.784476053,0.3242476160125049,0.4591497960207655,0.078680158,0.1548183262348175,13.368510246276855,-0.241949081,0.097521216,0.13588440418243408,10.290226936340332,0.3935900926589966
wgs_skin_multiple_1,finished,2025-01-21T05:00:08.000Z,82,8192,skin,FALSE,TRUE,1000,1,torch.optim.adamw.AdamW,0.2,422.3588325381279,6.281520670110529,0.7795770529460364,completed,7.028076865456321,-5.186502914,completed,7.225667317708333,0.5437859921297261,completed,5.235406239827474,0.6793475162342287,completed,10.888805042613637,0.049288402,completed,3.256709671020508,0.9649190094529658,completed,9.185148239135742,0.4103896675610421,completed,8.347463846206665,0.5431421643963694,completed,4.337756729125976,0.717869005,completed,18.48067386333759,0.1276360161802419,completed,4.095840451472088,8.026722848454277,-0.037054809,1.7372272883262918,0.077964814,0.018206985667347908,6.281520366668701,0.7795770764350891,0.098158218,0.14084970951080322,6.895392417907715,0.5062342882156372
wgs_oral_single_1,finished,2025-01-20T23:19:15.000Z,79,8192,oralcavity,FALSE,TRUE,1000,1,torch.optim.adamw.AdamW,0.2,426.1327244,9.817738758745016,0.5373680276280186,completed,7.191871974085059,0.7168922329506524,completed,6.895570422921862,0.6679413420717956,completed,9.557992867,0.5356071731095124,completed,8.218349571339786,0.4345554708833936,completed,11.249081669030366,0.2907116559266699,completed,8.871322014886472,0.43938146622000906,completed,10.70746085207377,0.40708772026304463,completed,8.253584055988878,0.3720288753249664,completed,9.432368824258448,0.406891931,completed,1.342370798,9.019534101039072,0.48084658956098886,0.12636449698492852,0.076444959,0.027807893231511116,9.817740440368652,0.5373679995536804,0.098052338,0.11298969388008118,7.700132846832275,0.6844984292984009
16s_skin_multiple_2,finished,2025-01-10T09:32:57.000Z,175,8192,16s_skin,FALSE,TRUE,1000,1,torch.optim.adamw.AdamW,0.2,441.10439318418366,4.4336494311951755,0.6583475832928356,completed,4.642718259839044,0.7609901820138605,completed,4.424799474870196,0.45922068900867297,completed,6.172760801495246,0.29056367486070667,completed,4.9999453442767985,0.30359627407803025,completed,3.5065347339795983,0.5909736138890703,completed,3.9463444777897423,0.7201138414196425,completed,6.461059451633029,0.4223619493679017,completed,5.374010020288928,0.6870507105500236,completed,6.962503789117663,0.16482320969479414,completed,1.0740491951837974,5.092432578448542,0.5058041728175537,0.19673314811216505,0.07142136,0.016740895807743073,4.43364954,0.6583476066589355,0.010255011729896069,0.015425636433064938,2.704052686691284,0.8479416370391846
